Symbol,Tipo,Fecha,Precio_Entrada,Stop_Loss_Inicial,Precio_Salida,Resultado,PnL_Absoluto,Retorno_Pct,Comision_Total,Descripcion,Fecha de operacion,Precio,Stop_loss,Nuevo_SL
NVDA,ACT_SL,2023-05-01 00:00:00,N/A,21.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.77
NVDA,ACT_SL,2023-05-08 00:00:00,N/A,21.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.9
NVDA,ACT_SL,2023-05-15 00:00:00,N/A,21.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.85
NVDA,ACT_SL,2023-05-22 00:00:00,N/A,23.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.59
NVDA,ACT_SL,2023-05-29 00:00:00,N/A,29.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.42
NVDA,ACT_SL,2023-06-12 00:00:00,N/A,31.42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.77
NVDA,ACT_SL,2023-06-19 00:00:00,N/A,32.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.97
NVDA,ACT_SL,2023-07-10 00:00:00,N/A,32.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.04
NVDA,ACT_SL,2023-08-21 00:00:00,N/A,36.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.67
NVDA,ACT_SL,2023-11-20 00:00:00,N/A,37.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.89
NVDA,ACT_SL,2024-01-08 00:00:00,N/A,37.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.49
NVDA,ACT_SL,2024-01-15 00:00:00,N/A,41.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.6
NVDA,ACT_SL,2024-01-22 00:00:00,N/A,44.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.11
NVDA,ACT_SL,2024-01-29 00:00:00,N/A,47.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49.92
NVDA,ACT_SL,2024-02-05 00:00:00,N/A,49.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54.1
NVDA,ACT_SL,2024-02-12 00:00:00,N/A,54.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55.93
NVDA,ACT_SL,2024-02-19 00:00:00,N/A,55.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.76
NVDA,ACT_SL,2024-03-04 00:00:00,N/A,61.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73.01
NVDA,ACT_SL,2024-05-20 00:00:00,N/A,73.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79.82
NVDA,ACT_SL,2024-05-27 00:00:00,N/A,79.82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86.82
NVDA,ACT_SL,2024-06-03 00:00:00,N/A,86.82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94.14
NVDA,ACT_SL,2024-06-10 00:00:00,N/A,94.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99.58
NVDA,ACT_SL,2024-06-17 00:00:00,N/A,99.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,105.52
NVDA,VENTA StopLoss,2024-08-05 00:00:00,20.34,105.52,104.71,Cerrada,2499208.14,414.8,0,N/A,N/A,N/A,N/A,N/A
NVDA,COMPRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COMPRA (Tecnica: EMA Lenta Ascendente),2024-08-12 00:00:00,124.53,93.4,N/A
NVDA,ACT_SL,2024-08-19 00:00:00,N/A,93.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,98.02
NVDA,ACT_SL,2024-08-26 00:00:00,N/A,98.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,98.4
NVDA,ACT_SL,2024-10-07 00:00:00,N/A,98.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,101.8
NVDA,ACT_SL,2024-10-14 00:00:00,N/A,101.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,105.63
NVDA,ACT_SL,2024-10-21 00:00:00,N/A,105.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,108.28
NVDA,ACT_SL,2024-11-04 00:00:00,N/A,108.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,112.29
NVDA,ACT_SL,2024-11-18 00:00:00,N/A,112.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,114.63
NVDA,ACT_SL,2025-01-06 00:00:00,N/A,114.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,114.82
NVDA,VENTA StopLoss,2025-03-03 00:00:00,124.53,114.82,112.66,Cerrada,-294470.96,-9.53,0,N/A,N/A,N/A,N/A,N/A
NVDA,COMPRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COMPRA (Tecnica: EMA Lenta Ascendente),2025-03-10 00:00:00,121.64,91.23,N/A
NVDA,ACT_SL,2025-03-17 00:00:00,N/A,91.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92.15
NVDA,ACT_SL,2025-05-12 00:00:00,N/A,92.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102.25
NVDA,ACT_SL,2025-05-19 00:00:00,N/A,102.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,103.04
NVDA,ACT_SL,2025-05-26 00:00:00,N/A,103.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,107.6
NVDA,ACT_SL,2025-06-02 00:00:00,N/A,107.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,107.98
NVDA,ACT_SL,2025-06-09 00:00:00,N/A,107.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,108.73
NVDA,ACT_SL,2025-06-16 00:00:00,N/A,108.73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109.64
NVDA,ACT_SL,2025-06-23 00:00:00,N/A,109.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,119.02
NVDA,ACT_SL,2025-06-30 00:00:00,N/A,119.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,120.72
NVDA,ACT_SL,2025-07-07 00:00:00,N/A,120.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,125.9
NVDA,ACT_SL,2025-07-14 00:00:00,N/A,125.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,130.67
NVDA,ACT_SL,2025-07-21 00:00:00,N/A,130.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,131.02
NVDA,ACT_SL,2025-07-28 00:00:00,N/A,131.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,137.46
NVDA,ACT_SL,2025-08-04 00:00:00,N/A,137.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,137.9
NVDA,ACT_SL,2025-08-11 00:00:00,N/A,137.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,138.34
NVDA,ACT_SL,2025-09-22 00:00:00,N/A,138.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,138.4
NVDA,ACT_SL,2025-09-29 00:00:00,N/A,138.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,143.28
NVDA,ACT_SL,2025-10-06 00:00:00,N/A,143.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,146.71
NVDA,ACT_SL,2025-10-27 00:00:00,N/A,146.71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,159.14
ZTS,COMPRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COMPRA (Tecnica: EMA Lenta Ascendente),2014-12-15 00:00:00,39.93,29.95,N/A
ZTS,ACT_SL,2014-12-22 00:00:00,N/A,29.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.49
ZTS,ACT_SL,2015-01-05 00:00:00,N/A,30.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.88
